Sum of Rpt Dist No,AREA NAME,LOCATION
14024,Harbor,1ST
25184,Harbor,1ST                          ST
6877,Harbor,200    BERTH
1587,Harbor,200    BROAD                        AV
559,Harbor,200    CANNERY                      ST
523,Harbor,200    FIGUEROA                     ST
2100,Harbor,200    ISLAND                       AV
1048,Harbor,200    KING                         AV
525,Harbor,200    LAGOON                       AV
2645,Harbor,200    LAKME                        AV
524,Harbor,200    MAR VISTA                    AV
518,Harbor,200    PACIFIC COAST                HY
516,Harbor,200    PCH
2356,Harbor,200    QUARTERMASTER                CT
529,Harbor,200    QUAY                         AV
1178,Harbor,200    WATCHHORN WA
589,Harbor,200    WATCHORN                     WK
589,Harbor,200    WATCHORN WAL
8835,Harbor,200    WATCHORN WALK
1178,Harbor,200    WHALERS                      WK
17081,Harbor,200    WHALERS WALK
559,Harbor,200    WHARF                        ST
529,Harbor,200    YACHT                        ST
1707,Harbor,200 E  22ND                         ST
1116,Harbor,200 E  5TH                          ST
20102,Harbor,200 E  ANAHEIM                      ST
1058,Harbor,200 E  C                            ST
529,Harbor,200 E  D                            ST
4653,Harbor,200 E  DENNI                        ST
2645,Harbor,200 E  E                            ST
529,Harbor,200 E  G                            ST
529,Harbor,200 E  HARRY BRIDGES                BL
1058,Harbor,200 E  I                            ST
1034,Harbor,200 E  L                            ST
2585,Harbor,200 E  M                            ST
1034,Harbor,200 E  N                            ST
12949,Harbor,200 E  OPP                          ST
202524,Harbor,200 E  PACIFIC COAST                HY
1036,Harbor,200 E  Q                            ST
2072,Harbor,200 E  R                            ST
17341,Harbor,200 N  AVALON                       BL
2767,Harbor,200 N  BANDINI                      ST
529,Harbor,200 N  BANNING                      BL
10044,Harbor,200 N  BEACON                       ST
4440,Harbor,200 N  CABRILLO                     AV
2232,Harbor,200 N  CENTRE                       ST
1653,Harbor,200 N  ELLERY                       DR
2755,Harbor,200 N  ENROSE                       AV
3150,Harbor,200 N  FRIES                        AV
12781,Harbor,200 N  GAFFEY                       ST
551,Harbor,200 N  GOODHOPE                     AV
7215,Harbor,200 N  GRAND                        AV
2755,Harbor,200 N  HANFORD                      AV
11160,Harbor,200 N  HARBOR                       BL
551,Harbor,200 N  HARBOR VIEW                  AV
1653,Harbor,200 N  MALGREN                      AV
2625,Harbor,200 N  MARINE                       AV
13950,Harbor,200 N  MESA                         ST
6105,Harbor,200 N  MEYLER                       ST
9486,Harbor,200 N  PACIFIC                      AV
1102,Harbor,200 N  PATTON                       AV
559,Harbor,200 N  SEASIDE                      AV
2755,Harbor,200 N  TROTWOOD                     AV
12122,Harbor,200 N  WESTERN                      AV
1050,Harbor,200 N  WILMINGTON                   BL
6204,Harbor,200 S  ARBOLES                      CT
5076,Harbor,200 S  ARMONA                       CT
1058,Harbor,200 S  AVALON                       BL
9024,Harbor,200 S  BEACON                       ST
12254,Harbor,200 S  CABRILLO                     AV
4512,Harbor,200 S  CENTRE                       ST
1581,Harbor,200 S  FRIES                        AV
23394,Harbor,200 S  GAFFEY                       ST
3899,Harbor,200 S  GRAND                        AV
1653,Harbor,200 S  HANFORD                      AV
10074,Harbor,200 S  HARBOR                       BL
1692,Harbor,200 S  MESA                         ST
8383,Harbor,200 S  PACIFIC                      AV
5076,Harbor,200 S  PALOS VERDES                 ST
1653,Harbor,200 S  PATTON                       AV
3857,Harbor,200 S  WALKER                       AV
1102,Harbor,200 S  WESTERN                      AV
30564,Harbor,200 W  10TH                         ST
17546,Harbor,200 W  11TH                         ST
18678,Harbor,200 W  12TH                         ST
8490,Harbor,200 W  13TH                         ST
11890,Harbor,200 W  14TH                         ST
17577,Harbor,200 W  15TH                         ST
20979,Harbor,200 W  16TH                         ST
2268,Harbor,200 W  17TH                         ST
31020,Harbor,200 W  1ST                          ST
14016,Harbor,200 W  22ND                         ST
26508,Harbor,200 W  2ND                          ST
6768,Harbor,200 W  3RD                          ST
60912,Harbor,200 W  5TH                          ST
36660,Harbor,200 W  6TH                          ST
13584,Harbor,200 W  7TH                          ST
23206,Harbor,200 W  8TH                          ST
16980,Harbor,200 W  9TH                          ST
11160,Harbor,200 W  AMAR                         ST
22618,Harbor,200 W  ANAHEIM                      ST
2100,Harbor,200 W  C                            ST
1575,Harbor,200 W  D                            ST
1032,Harbor,200 W  DENNI                        ST
2264,Harbor,200 W  DOCKSIDE                     LN
1575,Harbor,200 W  E                            ST
5257,Harbor,200 W  F                            ST
7364,Harbor,200 W  G                            ST
1578,Harbor,200 W  I                            ST
1032,Harbor,200 W  L                            ST
551,Harbor,200 W  LA ALAMEDA                   AV
3084,Harbor,200 W  LOMITA                       BL
516,Harbor,200 W  M                            ST
8928,Harbor,200 W  OFARRELL                     ST
6138,Harbor,200 W  OLIVER                       ST
2064,Harbor,200 W  OPP                          ST
3091,Harbor,200 W  PACIFIC COAST                HY
2575,Harbor,200 W  Q                            ST
515,Harbor,200 W  R                            ST
31410,Harbor,200 W  SANTA CRUZ                   ST
16182,Harbor,200 W  SEPULVEDA                    ST
1166,Harbor,2000    ELANITA                      DR
43932,Harbor,2000    JOHN S GIBSON                BL
1042,Harbor,2000    MOUNT SHASTA                 DR
1042,Harbor,2000    MT SHASTA                    DR
589,Harbor,2000    VIA CABRILLO MARINA
519,Harbor,2000 E  GRANT                        ST
2116,Harbor,2000 E  OPP                          ST
521,Harbor,2000 N  GAFFEY                       ST
3126,Harbor,2000 N  STONEWOOD                    CT
9945,Harbor,2000 S  ALMA                         ST
1166,Harbor,2000 S  AVERILL                      AV
3510,Harbor,2000 S  CABRILLO                     AV
4536,Harbor,2000 S  CRESCENT                     AV
7020,Harbor,2000 S  GAFFEY                       ST
7605,Harbor,2000 S  GRAND                        AV
2340,Harbor,2000 S  LELAND                       ST
567,Harbor,2000 S  MESA                         ST
585,Harbor,2000 S  MEYLER                       ST
581,Harbor,2000 S  MORAY                        AV
9765,Harbor,2000 S  PACIFIC                      AV
583,Harbor,2000 S  PATTON                       AV
1749,Harbor,2000 S  WALKER                       AV
6413,Harbor,2000 S  WESTERN                      AV
1743,Harbor,2000 W  35TH                         ST
3486,Harbor,2000 W  PASEO DEL MAR
3030,Harbor,20000 S  VERMONT                      AV
3528,Harbor,20000 S  WESTERN                      AV
4040,Harbor,20100    HAMILTON                     AV
504,Harbor,20100    NORMANDIE                    AV
4040,Harbor,20100 S  VERMONT                      AV
4536,Harbor,20100 S  WESTERN                      AV
529,Harbor,202
505,Harbor,20200    HAMILTON                     AV
5049,Harbor,20200    NORMANDIE                    AV
4040,Harbor,20200 S  VERMONT                      AV
3528,Harbor,20300    DENKER                       AV
10584,Harbor,20300    HARVARD                      BL
5544,Harbor,20300    NORMANDIE                    AV
1512,Harbor,20300 S  HARVARD                      BL
5050,Harbor,20300 S  VERMONT                      AV
1008,Harbor,20300 S  WESTERN                      AV
504,Harbor,20400 S  WESTERN                      AV
3528,Harbor,204TH
3528,Harbor,204TH                        ST
5544,Harbor,20500    DENKER                       AV
503,Harbor,20500    DODGE                        ST
2016,Harbor,20500    HARVARD                      BL
2520,Harbor,20500 S  WESTERN                      AV
1512,Harbor,205TH                        ST
504,Harbor,20600    DENKER                       AV
1512,Harbor,20600    HARVARD                      BL
5544,Harbor,20600 S  WESTERN                      AV
1509,Harbor,206TH                        ST
1008,Harbor,20700    DENKER                       AV
504,Harbor,20700    WESTERN                      AV
2016,Harbor,20700 S  WESTERN                      AV
1008,Harbor,207TH
2016,Harbor,207TH                        ST
2520,Harbor,20800    BRIGHTON                     AV
2520,Harbor,20800    DALTON                       AV
504,Harbor,20800    DENKER                       AV
3024,Harbor,20800    HALLDALE                     AV
2520,Harbor,20800    HARVARD                      BL
1512,Harbor,20800    NORMANDIE                    AV
504,Harbor,20800 S  BRIGHTON                     AV
504,Harbor,20800 S  HARVARD                      BL
2520,Harbor,20800 S  WESTERN                      AV
504,Harbor,208TH
1512,Harbor,208TH                        ST
5040,Harbor,20900    BRIGHTON                     AV
3528,Harbor,20900    DALTON                       AV
6552,Harbor,20900    DENKER                       AV
4536,Harbor,20900    HALLDALE                     AV
4032,Harbor,20900    LA SALLE                     AV
3528,Harbor,20900    NORMANDIE                    AV
4536,Harbor,20900 S  WESTERN                      AV
1512,Harbor,209TH
1509,Harbor,209TH                        ST
2322,Harbor,20TH
11007,Harbor,20TH                         ST
1042,Harbor,2100    BARRYWOOD                    AV
1166,Harbor,2100    ELANITA                      DR
2905,Harbor,2100    GRANDEUR                     DR
1743,Harbor,2100    GRENADIER                    DR
3136,Harbor,2100    JOHN S GIBSON
523,Harbor,2100    JOHN S GIBSON                AV
73307,Harbor,2100    JOHN S GIBSON                BL
523,Harbor,2100    JOHN S GIBSON                ST
523,Harbor,2100    JOHNS S GIBSON               BL
2324,Harbor,2100    MCRAE                        DR
521,Harbor,2100    MOUNT SHASTA                 DR
2605,Harbor,2100    MT SHASTA                    DR
569,Harbor,2100    SIGNAL                       PL
529,Harbor,2100    SIGSBEE                      AV
1162,Harbor,2100    VALLECITO                    DR
581,Harbor,2100    WARMOUTH                     ST
506,Harbor,2100    WESTERN                      AV
529,Harbor,2100 E  I                            ST
5190,Harbor,2100 E  PACIFIC COAST                HY
70335,Harbor,2100 N  GAFFEY                       ST
1563,Harbor,2100 N  STONEWOOD                    CT
3510,Harbor,2100 S  ALMA                         ST
1170,Harbor,2100 S  CABRILLO                     AV
5265,Harbor,2100 S  GAFFEY                       ST
3510,Harbor,2100 S  GRAND                        AV
1170,Harbor,2100 S  LELAND                       ST
2274,Harbor,2100 S  MESA                         ST
1170,Harbor,2100 S  MEYLER                       ST
14319,Harbor,2100 S  PACIFIC                      AV
583,Harbor,2100 S  PATTON                       AV
583,Harbor,2100 S  WALKER                       AV
583,Harbor,2100 S  WESTERN                      AV
7553,Harbor,2100 W  25TH                         ST
581,Harbor,2100 W  35TH                         ST
1162,Harbor,2100 W  37TH                         ST
2905,Harbor,2100 W  PASEO DEL MAR
2520,Harbor,21100    BRIGHTON                     AV
4536,Harbor,21100    DALTON                       AV
3528,Harbor,21100    DENKER                       AV
2520,Harbor,21100    HALLDALE                     AV
1008,Harbor,21100    HARVARD                      BL
2520,Harbor,21100    HOBART                       BL
3024,Harbor,21100    LA SALLE                     AV
3024,Harbor,21100    NORMANDIE                    AV
504,Harbor,21100 S  BRIGHTON                     AV
504,Harbor,21100 S  DALTON                       AV
5040,Harbor,21100 S  WESTERN                      AV
504,Harbor,211TH                        ST
506,Harbor,21200    DENKER                       AV
504,Harbor,21200    HALLDALE                     AV
506,Harbor,21200    HARVARD                      BL
3542,Harbor,21200    HOBART                       BL
2016,Harbor,21200    NORMANDIE                    AV
506,Harbor,21200    WESTERN                      AV
12650,Harbor,21200 S  WESTERN                      AV
504,Harbor,212TH
1008,Harbor,212TH                        ST
1518,Harbor,21300    BRIGHTON                     AV
1012,Harbor,21300    DENKER                       AV
506,Harbor,21300    NORMANDIE                    AV
506,Harbor,21300 S  NORMANDIE                    AV
2024,Harbor,21300 S  WESTERN                      AV
506,Harbor,213TH                        ST
506,Harbor,21400    HALLDALE                     AV
1012,Harbor,21400    HARVARD                      BL
5566,Harbor,21400    NORMANDIE                    AV
506,Harbor,21400 S  WESTERN                      AV
1518,Harbor,21500    DENKER                       AV
1012,Harbor,21500    HALLDALE                     AV
506,Harbor,21500    HARVARD                      BL
506,Harbor,21500 S  DENKER                       AV
506,Harbor,215TH
2022,Harbor,215TH                        ST
1518,Harbor,21600    HALLDALE                     AV
1518,Harbor,21600    HARVARD                      BL
506,Harbor,21600    NORMANDIE                    AV
506,Harbor,21600 S  DENKER                       AV
506,Harbor,21600 S  NORMANDIE                    AV
506,Harbor,21700    DENKER                       AV
2530,Harbor,21700    HALLDALE                     AV
506,Harbor,21700    HARVARD                      BL
3542,Harbor,21700    NORMANDIE                    AV
7590,Harbor,21700 S  WESTERN                      AV
2024,Harbor,21800    DENKER                       AV
2530,Harbor,21800    HALLDALE                     AV
506,Harbor,21800    HARVARD                      BL
1518,Harbor,21800    NORMANDIE                    AV
1012,Harbor,21800 S  WESTERN                      AV
506,Harbor,218TH
2530,Harbor,218TH                        ST
2024,Harbor,21900    HARVARD                      BL
3542,Harbor,21900    NORMANDIE                    AV
519,Harbor,21900 S  ALAMEDA                      ST
4554,Harbor,21900 S  WESTERN                      AV
2024,Harbor,219TH
4048,Harbor,219TH                        ST
5229,Harbor,21ST
8674,Harbor,21ST                         ST
2084,Harbor,2200    AMELIA                       AV
1162,Harbor,2200    AMIRANTE                     DR
581,Harbor,2200    BALERIA                      DR
8505,Harbor,2200    BARBOUR                      CT
2605,Harbor,2200    BARRYWOOD                    AV
521,Harbor,2200    BLUE BUTTERFLY               WY
583,Harbor,2200    ELANITA                      DR
1162,Harbor,2200    GRENADIER                    DR
521,Harbor,2200    JACK                         PL
1743,Harbor,2200    MANTIS                       AV
581,Harbor,2200    MCRAE                        DR
9104,Harbor,2200    MINER                        ST
521,Harbor,2200    MOUNT SHASTA                 DR
2084,Harbor,2200    MT SHASTA                    DR
1042,Harbor,2200    ROSEGLEN                     AV
569,Harbor,2200    SIGNAL                       PL
2276,Harbor,2200    SIGNAL                       ST
1042,Harbor,2200    STONEWOOD                    CT
505,Harbor,2200    VERMONT                      AV
2905,Harbor,2200    WANDERER                     DR
1743,Harbor,2200    WARMOUTH                     ST
4761,Harbor,2200 E  ANAHEIM                      ST
2645,Harbor,2200 E  I                            ST
3633,Harbor,2200 E  PACIFIC COAST                HY
2084,Harbor,2200 N  GAFFEY                       ST
8857,Harbor,2200 N  STONEWOOD                    CT
521,Harbor,2200 N  TAPER                        AV
2925,Harbor,2200 S  ALMA                         ST
18756,Harbor,2200 S  BLUE BUTTERFLY               WY
1170,Harbor,2200 S  CABRILLO                     AV
2340,Harbor,2200 S  GAFFEY                       ST
5265,Harbor,2200 S  GRAND                        AV
2925,Harbor,2200 S  LELAND                       ST
11147,Harbor,2200 S  MESA                         ST
585,Harbor,2200 S  MEYLER                       ST
30555,Harbor,2200 S  PACIFIC                      AV
1166,Harbor,2200 S  PATTON                       AV
581,Harbor,2200 S  WESTERN                      AV
14525,Harbor,2200 W  25TH                         ST
2324,Harbor,2200 W  37TH                         ST
2324,Harbor,2200 W  PASEO DEL MAR
506,Harbor,22000    NORMANDIE
1518,Harbor,22000    NORMANDIE                    AV
1557,Harbor,22000 S  ALAMEDA                      ST
2032,Harbor,220TH
1012,Harbor,22100    DENKER                       AV
506,Harbor,22100    HALLDALE                     AV
506,Harbor,22100    HARVARD                      BL
506,Harbor,22100    NORMANDIE                    AV
506,Harbor,22100 S  HARVARD                      BL
506,Harbor,22100 S  NORMANDIE                    AV
501,Harbor,221ST
506,Harbor,221ST                        ST
507,Harbor,22200    DENKER                       AV
507,Harbor,22200    HALLDALE                     AV
2535,Harbor,22200    NORMANDIE                    AV
3042,Harbor,222ND                        ST
8112,Harbor,22300    DENKER                       AV
4056,Harbor,22300    HALLDALE                     AV
507,Harbor,22300    HARVARD                      BL
1014,Harbor,22300    NORMANDIE                    AV
2535,Harbor,22300 S  WESTERN                      AV
2028,Harbor,223RD
2040,Harbor,223RD                        ST
511,Harbor,22400    CHARLOTTE                    DR
9126,Harbor,22400    DENKER                       AV
6591,Harbor,22400    HALLDALE                     AV
5577,Harbor,22400    HARVARD                      BL
1014,Harbor,22400 S  WESTERN                      AV
1013,Harbor,224TH
2026,Harbor,224TH                        ST
507,Harbor,22500    DENKER                       AV
4563,Harbor,22500    HALLDALE                     AV
507,Harbor,22500    HARVARD                      BL
2028,Harbor,22500 S  WESTERN                      AV
5070,Harbor,225TH
1521,Harbor,225TH                        ST
2535,Harbor,22600    DENKER                       AV
2028,Harbor,22600    HARVARD                      BL
4056,Harbor,22600 S  WESTERN                      AV
3042,Harbor,226TH
507,Harbor,226TH                        ST
507,Harbor,22700    DENKER                       AV
507,Harbor,22700    HALLDALE                     AV
2028,Harbor,22700    HARVARD                      BL
7098,Harbor,22700 S  WESTERN                      AV
507,Harbor,227TH
2535,Harbor,227TH                        ST
1521,Harbor,22800    FRAMPTON                     AV
8112,Harbor,22800    LOCKNESS                     AV
513,Harbor,22800    VERMONT                      AV
8112,Harbor,22800 S  WESTERN                      AV
2028,Harbor,228TH
1521,Harbor,228TH                        ST
1014,Harbor,22900    FRAMPTON                     AV
8619,Harbor,22900    LOCKNESS                     AV
37011,Harbor,22900 S  WESTERN                      AV
9159,Harbor,22ND
23571,Harbor,22ND                         ST
581,Harbor,2300    ANABAS                       AV
519,Harbor,2300    PACIFIC COAST                HY
3174,Harbor,2300 E  ANAHEIM                      ST
1038,Harbor,2300 E  PACIFIC COAST                HY
3633,Harbor,2300 E  SEPULVEDA                    BL
12870,Harbor,2300 S  ALMA                         ST
1042,Harbor,2300 S  BLUE BUTTERFLY               WY
2925,Harbor,2300 S  CABRILLO                     AV
1170,Harbor,2300 S  GAFFEY                       ST
5850,Harbor,2300 S  GRAND                        AV
1755,Harbor,2300 S  LELAND                       ST
1170,Harbor,2300 S  MEYLER                       ST
17064,Harbor,2300 S  PACIFIC                      AV
583,Harbor,2300 S  PATTON                       AV
1166,Harbor,2300 S  WESTERN                      AV
581,Harbor,2300 W  37TH                         ST
581,Harbor,2300 W  PASEO DEL MAR
508,Harbor,23200    CLEARPOOL                    PL
2032,Harbor,23200    PRYOR                        PL
18796,Harbor,23200 S  WESTERN                      AV
508,Harbor,23300    BATEY                        AV
1016,Harbor,23300    CLEARPOOL                    PL
6096,Harbor,23300    DORSET                       PL
508,Harbor,23300    DORSETT                      PL
3556,Harbor,23300    HALLDALE                     AV
1524,Harbor,23300    LOCKNESS                     AV
508,Harbor,23300    MALTBY                       PL
1016,Harbor,23300    SIDLEE                       PL
3556,Harbor,23300 S  WESTERN                      AV
1524,Harbor,23400    BATEY                        AV
1524,Harbor,23400    BRIGHTWATER                  PL
1524,Harbor,23400    CLEARPOOL                    PL
4064,Harbor,23400    HALLDALE                     AV
3048,Harbor,23400    PRESIDENT                    AV
2540,Harbor,23400    SIDLEE                       PL
5080,Harbor,23400 S  WESTERN                      AV
508,Harbor,234TH                        ST
1016,Harbor,23500    HIMBER                       PL
1016,Harbor,23500    KENTWORTHY                   AV
2032,Harbor,23500    PRESIDENT                    AV
508,Harbor,23500    SIDLEE                       PL
6604,Harbor,23500 S  WESTERN                      AV
1524,Harbor,235TH                        ST
508,Harbor,23600    BATEY                        AV
1016,Harbor,23600    CLEARPOOL                    PL
2540,Harbor,23600    KENTWORTHY                   AV
508,Harbor,23600    PRESIDENT                    AV
6604,Harbor,23600 S  WESTERN                      AV
2032,Harbor,23700    BATEY                        AV
2032,Harbor,23700    KIPPEN                       ST
508,Harbor,23700    MAIDSTONE                    PL
508,Harbor,23700    OAKHEATH                     PL
2032,Harbor,23700    PRESIDENT                    AV
2540,Harbor,23700 S  WESTERN                      AV
1524,Harbor,237TH
1016,Harbor,23800 S  WESTERN                      AV
508,Harbor,238TH
1526,Harbor,238TH                        ST
515,Harbor,23900    BANNING                      BL
511,Harbor,23900    NORMANDIE                    AV
2032,Harbor,23900    WESTERN                      AV
1019,Harbor,23900 S  NORMANDIE                    AV
4093,Harbor,23RD
2905,Harbor,23RD                         ST
507,Harbor,2400    DENKER                       AV
1138,Harbor,2400    MINER                        ST
1761,Harbor,2400    OCEANVIEW                    TR
1038,Harbor,2400    PACIFIC COAST                HY
519,Harbor,2400    PACIFIC COASTY               HY
569,Harbor,2400    SIGNAL
3414,Harbor,2400    SIGNAL                       ST
5290,Harbor,2400 E  ANAHEIM                      ST
1038,Harbor,2400 E  PACIFIC COAST
15570,Harbor,2400 E  PACIFIC COAST                HY
3114,Harbor,2400 E  PACIFIC COAST HIGHWAY
3633,Harbor,2400 E  SEPULVEDA                    BL
1170,Harbor,2400 S  CABRILLO                     AV
12327,Harbor,2400 S  CAROLINA                     ST
4109,Harbor,2400 S  DENISON                      AV
6435,Harbor,2400 S  GAFFEY                       ST
585,Harbor,2400 S  GRAND                        AV
19890,Harbor,2400 S  LELAND                       ST
1755,Harbor,2400 S  MEYLER                       ST
1763,Harbor,2400 S  PACIFIC                      AV
1749,Harbor,2400 S  PATTON                       AV
1749,Harbor,2400 S  WALKER                       AV
10494,Harbor,2400 S  WESTERN                      AV
2541,Harbor,24000    FRAMPTON                     AV
2036,Harbor,24000    WESTERN                      AV
509,Harbor,24000 S  WESTERN                      AV
509,Harbor,240TH
509,Harbor,240TH                        ST
1527,Harbor,24100    CENSOR                       AV
4576,Harbor,24100    FRAMPTON                     AV
5090,Harbor,24100    WESTERN                      AV
509,Harbor,24100 S  WESTERN                      AV
1018,Harbor,24200    AMBASSADOR                   PL
1018,Harbor,24200    CENSOR                       AV
4581,Harbor,24200    FRAMPTON                     AV
2036,Harbor,24200    GOVERNOR                     AV
2036,Harbor,24200    POSTMASTER                   AV
2036,Harbor,24200    PRESIDENT                    AV
4072,Harbor,24200    WESTERN                      AV
1018,Harbor,242ND
2036,Harbor,242ND                        PL
24941,Harbor,24300    WESTERN                      AV
2545,Harbor,24300 S  WESTERN                      AV
509,Harbor,243RD
1012,Harbor,243RD                        ST
1036,Harbor,24400    ALBATROSS                    AV
518,Harbor,24400    AVALON                       BL
1036,Harbor,24400    BAYPOINT                     AV
1036,Harbor,24400    BROAD                        AV
4662,Harbor,24400    DEEPWATER                    AV
509,Harbor,24400    FRAMPTON                     AV
1554,Harbor,24400    LAKME                        AV
509,Harbor,24400    PRESIDENT                    AV
2590,Harbor,24400    SEAGROVE                     AV
509,Harbor,24400    SENATOR                      AV
509,Harbor,24400    WESTERN                      AV
2072,Harbor,24400 S  AVALON                       BL
513,Harbor,244TH                        ST
2072,Harbor,24500    ALBATROSS                    AV
1554,Harbor,24500    BROAD                        AV
1018,Harbor,24500    FRAMPTON                     AV
2072,Harbor,24500    LAKME                        AV
1018,Harbor,24500    PRESIDENT                    AV
1527,Harbor,24500    SENATOR                      AV
509,Harbor,24500    WESTERN                      AV
12950,Harbor,24500 S  AVALON                       BL
1509,Harbor,245TH                        ST
1036,Harbor,24600    AVALON                       BL
1554,Harbor,24600    BROAD                        AV
518,Harbor,24600    LAKME                        AV
1018,Harbor,24600    MAPLE                        LN
1018,Harbor,24600    SENATOR                      AV
1018,Harbor,24600    SYCAMORE                     WY
2036,Harbor,24600    WESTERN                      AV
1018,Harbor,24600    WILLOW                       TR
4662,Harbor,24600 S  AVALON                       BL
1018,Harbor,24600 S  WESTERN                      AV
1554,Harbor,246TH
2581,Harbor,246TH                        ST
518,Harbor,24700    AVALON                       BL
3108,Harbor,24700    BAYPOINT                     AV
2590,Harbor,24700    BOMBAY                       AV
1554,Harbor,24700    BROAD                        AV
1036,Harbor,24700    LAKME                        AV
1527,Harbor,24700    PRESIDENT                    AV
518,Harbor,24700    SEAGROVE                     AV
2036,Harbor,24700    SENATOR                      AV
9842,Harbor,24700 S  AVALON                       BL
509,Harbor,24700 S  WESTERN                      AV
518,Harbor,24700 S  WILMINGTON                   AV
509,Harbor,247TH                        ST
1036,Harbor,24800    BAYPOINT                     AV
5180,Harbor,24800    BROAD                        AV
2036,Harbor,24800    FRAMPTON                     AV
11396,Harbor,24800    LAKME                        AV
518,Harbor,24800    MARINE                       AV
509,Harbor,24800    PRESIDENT                    AV
2072,Harbor,24800    SEAGROVE                     AV
2036,Harbor,24800    WESTERN                      AV
5180,Harbor,24800 S  AVALON                       BL
518,Harbor,248TH
2063,Harbor,248TH                        ST
3108,Harbor,24900    AVALON                       BL
518,Harbor,24900    BAYPOINT                     AV
1554,Harbor,24900    BROAD                        AV
9162,Harbor,24900    FRAMPTON                     AV
1036,Harbor,24900    LAKME                        AV
509,Harbor,24900    PRESIDENT                    AV
15270,Harbor,24900    WESTERN                      AV
3626,Harbor,24900 S  AVALON                       BL
1018,Harbor,24900 S  WESTERN                      AV
518,Harbor,249TH
509,Harbor,249TH                        ST
1755,Harbor,24TH
5850,Harbor,24TH                         ST
523,Harbor,2500    FRAMPTON                     AV
581,Harbor,2500    GUNNELL                      AV
10183,Harbor,2500    NAVY                         WY
581,Harbor,2500    ROBALO                       AV
12518,Harbor,2500    SIGNAL                       ST
2356,Harbor,2500    VIA CABRILLO MARINA
1038,Harbor,2500 E  223RD                        ST
3174,Harbor,2500 E  ANAHEIM                      ST
529,Harbor,2500 E  I                            ST
521,Harbor,2500 N  GAFFEY                       ST
2084,Harbor,2500 N  TAPER                        AV
4095,Harbor,2500 S  ALMA                         ST
1162,Harbor,2500 S  ANCHOVY                      AV
1755,Harbor,2500 S  CABRILLO                     AV
16436,Harbor,2500 S  CAROLINA                     ST
7631,Harbor,2500 S  DENISON                      AV
587,Harbor,2500 S  GAFFEY                       ST
585,Harbor,2500 S  LELAND                       ST
4095,Harbor,2500 S  MEYLER                       ST
581,Harbor,2500 S  MORAY                        AV
1166,Harbor,2500 S  PATTON                       AV
587,Harbor,2500 S  PECK                         AV
1745,Harbor,2500 S  WESTERN                      AV
8144,Harbor,25000    BELLE PORTE                  AV
4527,Harbor,25000    BROADWELL                    AV
1006,Harbor,25000    DOBLE                        AV
503,Harbor,25000    DODGE                        AV
514,Harbor,25000    FIGUEROA                     ST
23558,Harbor,25000    FRAMPTON                     AV
1026,Harbor,25000    MARIGOLD                     AV
1539,Harbor,25000    NORMANDIE                    AV
3018,Harbor,25000    PETROLEUM                    AV
5030,Harbor,25000    VERMONT                      AV
4581,Harbor,25000    WESTERN                      AV
509,Harbor,25000 N  WESTERN                      AV
509,Harbor,25000 S  WESTERN                      AV
5599,Harbor,25100    BELLE PORTE                  AV
3521,Harbor,25100    BROADWELL                    AV
9226,Harbor,25100    FRAMPTON                     AV
1509,Harbor,25100    MARIGOLD                     AV
2565,Harbor,25100    NORMANDIE                    AV
503,Harbor,25100    PETROLEUM                    AV
509,Harbor,25100    SENATOR                      AV
503,Harbor,25100    VERMONT                      AV
1527,Harbor,25100    WESTERN                      AV
1533,Harbor,251ST
3565,Harbor,251ST                        ST
2555,Harbor,25200    BELLE PORTE                  AV
2012,Harbor,25200    BROADWELL                    AV
503,Harbor,25200    DOBLE                        AV
1539,Harbor,25200    FRAMPTON                     AV
3531,Harbor,25200    MARIGOLD                     AV
503,Harbor,25200    MCCOY                        AV
6156,Harbor,25200    NORMANDIE                    AV
1006,Harbor,25200    PETROLEUM                    AV
2012,Harbor,25200    PINE CREEK                   LN
511,Harbor,25200    SENATOR                      AV
6036,Harbor,25200    VERMONT                      AV
511,Harbor,25200    WESTERN                      AV
1022,Harbor,25200 S  WESTERN                      AV
503,Harbor,25200 W  PACIFIC COAST                HY
2551,Harbor,252ND                        ST
9557,Harbor,25300    BAYCREST                     CT
503,Harbor,25300    BAYSIDE                      PL
4599,Harbor,25300    BELLE PORTE                  AV
4599,Harbor,25300    FRAMPTON                     AV
503,Harbor,25300    MARIGOLD                     AV
2012,Harbor,25300    MCCOY                        AV
2052,Harbor,25300    NORMANDIE                    AV
1006,Harbor,25300    PETROLEUM                    AV
12575,Harbor,25300    PINE CREEK                   LN
511,Harbor,25300    PRESIDENT                    AV
2515,Harbor,25300    VERMONT                      AV
1022,Harbor,25300    WESTERN                      AV
11706,Harbor,253RD
12681,Harbor,253RD                        ST
511,Harbor,254
2515,Harbor,25400    BAYCREST                     CT
1509,Harbor,25400    BAYSIDE                      PL
8687,Harbor,25400    BELLE PORTE                  AV
5030,Harbor,25400    DODGE                        AV
10246,Harbor,25400    FRAMPTON                     AV
2012,Harbor,25400    MCCOY                        AV
2052,Harbor,25400    NORMANDIE                    AV
13078,Harbor,25400    PINE CREEK                   LN
2044,Harbor,25400    PRESIDENT                    AV
2555,Harbor,25400    SENATOR                      AV
1006,Harbor,25400    VERMONT                      AV
1026,Harbor,25400    WALNUT                       ST
3066,Harbor,25400    WESTERN                      AV
1022,Harbor,25400 S  WESTERN                      AV
